#options: 1860x984 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=803 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:40.90 aq:24.48 tex:181409 mv:35017 misc:190 imb:7254 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:41.92 aq:29.41 tex:392 mv:87 misc:513 imb:2 pmb:21 smb:7231 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:41.92 aq:26.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:41.92 aq:27.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:41.92 aq:27.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:41.50 aq:32.47 tex:162 mv:25 misc:461 imb:0 pmb:8 smb:7246 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:41.71 aq:25.00 tex:0 mv:0 misc:368 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:41.81 aq:27.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:41.60 aq:27.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:41.02 aq:32.88 tex:95 mv:17 misc:440 imb:0 pmb:6 smb:7248 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:41.26 aq:25.00 tex:0 mv:0 misc:368 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:41.38 aq:26.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:41.14 aq:26.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:40.53 aq:27.73 tex:168 mv:39 misc:465 imb:1 pmb:8 smb:7245 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:40.78 aq:25.00 tex:0 mv:0 misc:368 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:40.90 aq:26.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:40.65 aq:26.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:40.01 aq:30.43 tex:1114 mv:101 misc:641 imb:1 pmb:40 smb:7213 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:40.27 aq:24.00 tex:0 mv:0 misc:368 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:40.40 aq:25.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:40.14 aq:25.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:44.01 aq:25.00 tex:0 mv:0 misc:368 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:42.01 aq:26.00 tex:0 mv:0 misc:368 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:41.01 aq:26.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:43.01 aq:28.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:38.81 aq:28.05 tex:6616 mv:563 misc:1205 imb:39 pmb:168 smb:7047 d:- ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:41.41 aq:25.00 tex:0 mv:0 misc:368 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:42.71 aq:28.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:40.11 aq:25.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:34.89 aq:21.15 tex:89584 mv:3608 misc:2144 imb:338 pmb:1053 smb:5863 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:36.85 aq:21.00 tex:0 mv:0 misc:368 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:37.83 aq:23.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:35.87 aq:21.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:32.02 aq:22.39 tex:102643 mv:3685 misc:2152 imb:514 pmb:989 smb:5751 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:33.45 aq:17.00 tex:46 mv:63 misc:435 imb:0 pmb:10 smb:7244 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:34.17 aq:19.00 tex:9 mv:3 misc:364 imb:0 pmb:1 smb:7253 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:32.73 aq:18.00 tex:0 mv:0 misc:368 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:29.80 aq:16.73 tex:97015 mv:4693 misc:2244 imb:748 pmb:995 smb:5511 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:30.91 aq:20.49 tex:151 mv:39 misc:434 imb:0 pmb:6 smb:7248 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:31.46 aq:16.20 tex:37 mv:20 misc:391 imb:0 pmb:3 smb:7251 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:30.35 aq:15.00 tex:4 mv:23 misc:381 imb:0 pmb:2 smb:7252 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:27.99 aq:20.23 tex:87568 mv:3194 misc:2318 imb:386 pmb:930 smb:5938 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:28.89 aq:17.18 tex:25 mv:23 misc:408 imb:0 pmb:3 smb:7251 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:29.35 aq:18.88 tex:26 mv:14 misc:392 imb:0 pmb:3 smb:7251 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:28.44 aq:13.00 tex:29 mv:22 misc:389 imb:2 pmb:0 smb:7252 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:26.72 aq:17.11 tex:63609 mv:2969 misc:2798 imb:525 pmb:927 smb:5802 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:27.35 aq:17.14 tex:151 mv:353 misc:528 imb:45 pmb:11 smb:7198 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:27.67 aq:13.00 tex:2 mv:11 misc:379 imb:1 pmb:0 smb:7253 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:27.04 aq:12.00 tex:91 mv:317 misc:448 imb:44 pmb:5 smb:7205 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:27.49 aq:16.25 tex:3611 mv:392 misc:933 imb:50 pmb:79 smb:7125 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:27.11 aq:11.00 tex:61 mv:20 misc:423 imb:1 pmb:5 smb:7248 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:26.91 aq:12.00 tex:57 mv:11 misc:396 imb:0 pmb:5 smb:7249 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:27.30 aq:12.00 tex:57 mv:11 misc:396 imb:0 pmb:5 smb:7249 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:28.55 aq:11.69 tex:248 mv:74 misc:518 imb:2 pmb:13 smb:7239 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:28.02 aq:12.00 tex:57 mv:11 misc:412 imb:0 pmb:5 smb:7249 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:27.76 aq:13.00 tex:0 mv:0 misc:368 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:28.29 aq:13.00 tex:0 mv:0 misc:368 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:29.20 aq:15.32 tex:79 mv:46 misc:467 imb:2 pmb:5 smb:7247 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:28.88 aq:13.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:28.72 aq:14.00 tex:0 mv:0 misc:368 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:29.04 aq:14.00 tex:0 mv:0 misc:368 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:29.39 aq:14.72 tex:854 mv:56 misc:458 imb:2 pmb:7 smb:7245 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:29.29 aq:13.00 tex:5 mv:6 misc:389 imb:0 pmb:1 smb:7253 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:29.25 aq:14.00 tex:0 mv:0 misc:368 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:29.34 aq:14.00 tex:5 mv:5 misc:374 imb:0 pmb:1 smb:7253 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:29.16 aq:15.31 tex:1586 mv:360 misc:486 imb:43 pmb:48 smb:7163 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:29.28 aq:13.00 tex:4 mv:6 misc:390 imb:0 pmb:1 smb:7253 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:29.34 aq:35.79 tex:83 mv:17 misc:380 imb:0 pmb:2 smb:7252 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:29.22 aq:14.00 tex:0 mv:0 misc:368 imb:0 pmb:0 smb:7254 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:27.88 aq:12.38 tex:929 mv:130 misc:589 imb:2 pmb:66 smb:7186 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:28.52 aq:15.91 tex:162 mv:41 misc:421 imb:0 pmb:7 smb:7247 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:28.84 aq:34.80 tex:79 mv:11 misc:374 imb:0 pmb:1 smb:7253 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:28.20 aq:13.00 tex:5 mv:6 misc:373 imb:0 pmb:1 smb:7253 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:26.43 aq:18.67 tex:24096 mv:763 misc:2029 imb:62 pmb:466 smb:6726 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:27.15 aq:14.53 tex:128 mv:30 misc:434 imb:0 pmb:7 smb:7247 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:27.52 aq:13.00 tex:4 mv:6 misc:374 imb:0 pmb:1 smb:7253 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:26.79 aq:12.00 tex:65 mv:24 misc:415 imb:0 pmb:7 smb:7247 d:- ref:0 ;
